date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2003-10-17,8.45,8.45,8.42,8.45,107400.0,8.45,8.5,8.4,8.42,46900.0,8.45,8.45,8.4,8.45,38900.0,8.5,8.5,8.42,8.45,42400.0,0.0,0.0,0.0,0.0,0.0,8.6
2003-10-20,8.45,8.45,8.42,8.45,50000.0,8.45,8.45,8.42,8.45,107400.0,8.45,8.5,8.4,8.42,46900.0,8.45,8.45,8.4,8.45,38900.0,8.5,8.5,8.42,8.45,42400.0,8.73
2003-10-21,8.42,8.45,8.42,8.45,56300.0,8.45,8.45,8.42,8.45,50000.0,8.45,8.45,8.42,8.45,107400.0,8.45,8.5,8.4,8.42,46900.0,8.45,8.45,8.4,8.45,38900.0,8.7
2003-10-22,8.45,8.5,8.41,8.5,155800.0,8.42,8.45,8.42,8.45,56300.0,8.45,8.45,8.42,8.45,50000.0,8.45,8.45,8.42,8.45,107400.0,8.45,8.5,8.4,8.42,46900.0,8.7
2003-10-23,8.5,8.54,8.45,8.54,161600.0,8.45,8.5,8.41,8.5,155800.0,8.42,8.45,8.42,8.45,56300.0,8.45,8.45,8.42,8.45,50000.0,8.45,8.45,8.42,8.45,107400.0,8.75
2003-10-24,8.55,8.58,8.5,8.53,28800.0,8.5,8.54,8.45,8.54,161600.0,8.45,8.5,8.41,8.5,155800.0,8.42,8.45,8.42,8.45,56300.0,8.45,8.45,8.42,8.45,50000.0,8.68
2003-10-27,8.48,8.6,8.48,8.6,57100.0,8.55,8.58,8.5,8.53,28800.0,8.5,8.54,8.45,8.54,161600.0,8.45,8.5,8.41,8.5,155800.0,8.42,8.45,8.42,8.45,56300.0,8.6
2003-10-28,8.74,8.77,8.61,8.73,113900.0,8.48,8.6,8.48,8.6,57100.0,8.55,8.58,8.5,8.53,28800.0,8.5,8.54,8.45,8.54,161600.0,8.45,8.5,8.41,8.5,155800.0,8.52
2003-10-29,8.65,8.74,8.6,8.7,59300.0,8.74,8.77,8.61,8.73,113900.0,8.48,8.6,8.48,8.6,57100.0,8.55,8.58,8.5,8.53,28800.0,8.5,8.54,8.45,8.54,161600.0,8.52
2003-10-30,8.77,8.8,8.7,8.7,66600.0,8.65,8.74,8.6,8.7,59300.0,8.74,8.77,8.61,8.73,113900.0,8.48,8.6,8.48,8.6,57100.0,8.55,8.58,8.5,8.53,28800.0,8.5
2003-10-31,8.75,8.78,8.7,8.75,53500.0,8.77,8.8,8.7,8.7,66600.0,8.65,8.74,8.6,8.7,59300.0,8.74,8.77,8.61,8.73,113900.0,8.48,8.6,8.48,8.6,57100.0,8.5
2003-11-03,8.75,8.75,8.55,8.68,55600.0,8.75,8.78,8.7,8.75,53500.0,8.77,8.8,8.7,8.7,66600.0,8.65,8.74,8.6,8.7,59300.0,8.74,8.77,8.61,8.73,113900.0,8.6
2003-11-04,8.7,8.7,8.54,8.6,97000.0,8.75,8.75,8.55,8.68,55600.0,8.75,8.78,8.7,8.75,53500.0,8.77,8.8,8.7,8.7,66600.0,8.65,8.74,8.6,8.7,59300.0,8.73
