date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,7.9,8.25,7.9,8.25,15200.0,7.925,8.0,7.875,8.0,25200.0,8.0,8.25,7.95,7.95,16800.0,7.875,8.375,7.875,8.375,26600.0,8.0,8.25,7.925,8.0,53000.0,7.775
2000-01-13,8.125,8.25,8.0,8.0,3200.0,7.9,8.25,7.9,8.25,15200.0,7.925,8.0,7.875,8.0,25200.0,8.0,8.25,7.95,7.95,16800.0,7.875,8.375,7.875,8.375,26600.0,7.75
2000-01-14,8.125,8.125,7.875,7.875,14000.0,8.125,8.25,8.0,8.0,3200.0,7.9,8.25,7.9,8.25,15200.0,7.925,8.0,7.875,8.0,25200.0,8.0,8.25,7.95,7.95,16800.0,7.625
2000-01-17,7.75,8.0,7.75,7.875,7800.0,8.125,8.125,7.875,7.875,14000.0,8.125,8.25,8.0,8.0,3200.0,7.9,8.25,7.9,8.25,15200.0,7.925,8.0,7.875,8.0,25200.0,7.0
2000-01-18,7.875,8.0,7.625,7.95,556200.0,7.75,8.0,7.75,7.875,7800.0,8.125,8.125,7.875,7.875,14000.0,8.125,8.25,8.0,8.0,3200.0,7.9,8.25,7.9,8.25,15200.0,6.925
2000-01-19,7.825,7.975,7.825,7.975,2200.0,7.875,8.0,7.625,7.95,556200.0,7.75,8.0,7.75,7.875,7800.0,8.125,8.125,7.875,7.875,14000.0,8.125,8.25,8.0,8.0,3200.0,7.175
2000-01-20,7.875,8.125,7.775,7.775,9200.0,7.825,7.975,7.825,7.975,2200.0,7.875,8.0,7.625,7.95,556200.0,7.75,8.0,7.75,7.875,7800.0,8.125,8.125,7.875,7.875,14000.0,7.375
2000-01-21,7.775,7.85,7.75,7.75,10000.0,7.875,8.125,7.775,7.775,9200.0,7.825,7.975,7.825,7.975,2200.0,7.875,8.0,7.625,7.95,556200.0,7.75,8.0,7.75,7.875,7800.0,8.0
2000-01-24,7.775,7.775,7.625,7.625,39800.0,7.775,7.85,7.75,7.75,10000.0,7.875,8.125,7.775,7.775,9200.0,7.825,7.975,7.825,7.975,2200.0,7.875,8.0,7.625,7.95,556200.0,7.875
2000-01-25,7.5,7.5,7.0,7.0,39600.0,7.775,7.775,7.625,7.625,39800.0,7.775,7.85,7.75,7.75,10000.0,7.875,8.125,7.775,7.775,9200.0,7.825,7.975,7.825,7.975,2200.0,7.975
2000-01-26,7.125,7.125,6.925,6.925,38200.0,7.5,7.5,7.0,7.0,39600.0,7.775,7.775,7.625,7.625,39800.0,7.775,7.85,7.75,7.75,10000.0,7.875,8.125,7.775,7.775,9200.0,7.975
2000-01-27,6.95,7.25,6.9,7.175,38800.0,7.125,7.125,6.925,6.925,38200.0,7.5,7.5,7.0,7.0,39600.0,7.775,7.775,7.625,7.625,39800.0,7.775,7.85,7.75,7.75,10000.0,8.25
2000-01-28,7.15,7.475,7.15,7.375,58000.0,6.95,7.25,6.9,7.175,38800.0,7.125,7.125,6.925,6.925,38200.0,7.5,7.5,7.0,7.0,39600.0,7.775,7.775,7.625,7.625,39800.0,7.75
2000-01-31,7.25,8.0,7.25,8.0,33000.0,7.15,7.475,7.15,7.375,58000.0,6.95,7.25,6.9,7.175,38800.0,7.125,7.125,6.925,6.925,38200.0,7.5,7.5,7.0,7.0,39600.0,7.875
2000-02-01,7.95,7.95,7.875,7.875,12000.0,7.25,8.0,7.25,8.0,33000.0,7.15,7.475,7.15,7.375,58000.0,6.95,7.25,6.9,7.175,38800.0,7.125,7.125,6.925,6.925,38200.0,7.875
2000-02-02,7.875,8.0,7.8,7.975,63200.0,7.95,7.95,7.875,7.875,12000.0,7.25,8.0,7.25,8.0,33000.0,7.15,7.475,7.15,7.375,58000.0,6.95,7.25,6.9,7.175,38800.0,8.0
2000-02-03,7.875,8.0,7.85,7.975,25200.0,7.875,8.0,7.8,7.975,63200.0,7.95,7.95,7.875,7.875,12000.0,7.25,8.0,7.25,8.0,33000.0,7.15,7.475,7.15,7.375,58000.0,7.75
2000-02-04,7.925,8.25,7.925,8.25,5400.0,7.875,8.0,7.85,7.975,25200.0,7.875,8.0,7.8,7.975,63200.0,7.95,7.95,7.875,7.875,12000.0,7.25,8.0,7.25,8.0,33000.0,8.0
2000-02-07,8.0,8.25,7.5,7.75,176600.0,7.925,8.25,7.925,8.25,5400.0,7.875,8.0,7.85,7.975,25200.0,7.875,8.0,7.8,7.975,63200.0,7.95,7.95,7.875,7.875,12000.0,8.125
2000-02-08,7.875,8.0,7.875,7.875,30600.0,8.0,8.25,7.5,7.75,176600.0,7.925,8.25,7.925,8.25,5400.0,7.875,8.0,7.85,7.975,25200.0,7.875,8.0,7.8,7.975,63200.0,7.9
2000-02-09,7.875,8.125,7.875,7.875,18000.0,7.875,8.0,7.875,7.875,30600.0,8.0,8.25,7.5,7.75,176600.0,7.925,8.25,7.925,8.25,5400.0,7.875,8.0,7.85,7.975,25200.0,7.75
2000-02-10,7.875,8.0,7.875,8.0,24200.0,7.875,8.125,7.875,7.875,18000.0,7.875,8.0,7.875,7.875,30600.0,8.0,8.25,7.5,7.75,176600.0,7.925,8.25,7.925,8.25,5400.0,7.5
2000-02-11,7.875,7.875,7.75,7.75,35800.0,7.875,8.0,7.875,8.0,24200.0,7.875,8.125,7.875,7.875,18000.0,7.875,8.0,7.875,7.875,30600.0,8.0,8.25,7.5,7.75,176600.0,7.75
2000-02-14,7.75,8.0,7.75,8.0,68600.0,7.875,7.875,7.75,7.75,35800.0,7.875,8.0,7.875,8.0,24200.0,7.875,8.125,7.875,7.875,18000.0,7.875,8.0,7.875,7.875,30600.0,7.5
2000-02-15,8.2,8.2,7.875,8.125,33800.0,7.75,8.0,7.75,8.0,68600.0,7.875,7.875,7.75,7.75,35800.0,7.875,8.0,7.875,8.0,24200.0,7.875,8.125,7.875,7.875,18000.0,7.425
2000-02-16,7.875,7.925,7.875,7.9,11400.0,8.2,8.2,7.875,8.125,33800.0,7.75,8.0,7.75,8.0,68600.0,7.875,7.875,7.75,7.75,35800.0,7.875,8.0,7.875,8.0,24200.0,7.525
2000-02-17,8.0,8.0,7.5,7.75,14200.0,7.875,7.925,7.875,7.9,11400.0,8.2,8.2,7.875,8.125,33800.0,7.75,8.0,7.75,8.0,68600.0,7.875,7.875,7.75,7.75,35800.0,7.6
2000-02-18,7.75,7.75,7.5,7.5,9000.0,8.0,8.0,7.5,7.75,14200.0,7.875,7.925,7.875,7.9,11400.0,8.2,8.2,7.875,8.125,33800.0,7.75,8.0,7.75,8.0,68600.0,7.675
2000-02-21,7.5,7.75,7.5,7.75,74400.0,7.75,7.75,7.5,7.5,9000.0,8.0,8.0,7.5,7.75,14200.0,7.875,7.925,7.875,7.9,11400.0,8.2,8.2,7.875,8.125,33800.0,8.0
2000-02-22,7.625,7.75,7.5,7.5,428800.0,7.5,7.75,7.5,7.75,74400.0,7.75,7.75,7.5,7.5,9000.0,8.0,8.0,7.5,7.75,14200.0,7.875,7.925,7.875,7.9,11400.0,8.125
2000-02-23,7.5,7.5,7.425,7.425,115200.0,7.625,7.75,7.5,7.5,428800.0,7.5,7.75,7.5,7.75,74400.0,7.75,7.75,7.5,7.5,9000.0,8.0,8.0,7.5,7.75,14200.0,8.25
2000-02-24,7.425,7.525,7.425,7.525,35600.0,7.5,7.5,7.425,7.425,115200.0,7.625,7.75,7.5,7.5,428800.0,7.5,7.75,7.5,7.75,74400.0,7.75,7.75,7.5,7.5,9000.0,8.25
2000-02-25,7.55,7.75,7.525,7.6,37200.0,7.425,7.525,7.425,7.525,35600.0,7.5,7.5,7.425,7.425,115200.0,7.625,7.75,7.5,7.5,428800.0,7.5,7.75,7.5,7.75,74400.0,7.875
2000-02-28,7.625,7.675,7.625,7.675,18600.0,7.55,7.75,7.525,7.6,37200.0,7.425,7.525,7.425,7.525,35600.0,7.5,7.5,7.425,7.425,115200.0,7.625,7.75,7.5,7.5,428800.0,8.0
2000-02-29,7.675,8.275,7.675,8.0,95800.0,7.625,7.675,7.625,7.675,18600.0,7.55,7.75,7.525,7.6,37200.0,7.425,7.525,7.425,7.525,35600.0,7.5,7.5,7.425,7.425,115200.0,7.95
2000-03-01,8.0,8.25,8.0,8.125,9800.0,7.675,8.275,7.675,8.0,95800.0,7.625,7.675,7.625,7.675,18600.0,7.55,7.75,7.525,7.6,37200.0,7.425,7.525,7.425,7.525,35600.0,7.975
2000-03-02,8.125,8.375,8.125,8.25,14000.0,8.0,8.25,8.0,8.125,9800.0,7.675,8.275,7.675,8.0,95800.0,7.625,7.675,7.625,7.675,18600.0,7.55,7.75,7.525,7.6,37200.0,7.875
