date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2005-11-15,22.95,22.95,20.25,20.55,92400.0,23.1,23.5,22.6,23.0,16100.0,25.75,25.75,23.0,23.7,50500.0,26.0,26.25,25.0,25.8,17500.0,27.4,27.4,26.25,26.5,25500.0,20.85
2005-11-16,20.1,21.0,20.1,20.8,46700.0,22.95,22.95,20.25,20.55,92400.0,23.1,23.5,22.6,23.0,16100.0,25.75,25.75,23.0,23.7,50500.0,26.0,26.25,25.0,25.8,17500.0,22.4
2005-11-17,20.9,22.4,20.85,21.25,84500.0,20.1,21.0,20.1,20.8,46700.0,22.95,22.95,20.25,20.55,92400.0,23.1,23.5,22.6,23.0,16100.0,25.75,25.75,23.0,23.7,50500.0,22.15
2005-11-18,21.6,21.6,21.0,21.25,61800.0,20.9,22.4,20.85,21.25,84500.0,20.1,21.0,20.1,20.8,46700.0,22.95,22.95,20.25,20.55,92400.0,23.1,23.5,22.6,23.0,16100.0,21.0
2005-11-21,21.25,21.25,20.3,20.5,24900.0,21.6,21.6,21.0,21.25,61800.0,20.9,22.4,20.85,21.25,84500.0,20.1,21.0,20.1,20.8,46700.0,22.95,22.95,20.25,20.55,92400.0,21.0
2005-11-22,21.0,21.0,20.5,20.5,78000.0,21.25,21.25,20.3,20.5,24900.0,21.6,21.6,21.0,21.25,61800.0,20.9,22.4,20.85,21.25,84500.0,20.1,21.0,20.1,20.8,46700.0,21.95
2005-11-23,20.5,21.0,20.5,20.85,39700.0,21.0,21.0,20.5,20.5,78000.0,21.25,21.25,20.3,20.5,24900.0,21.6,21.6,21.0,21.25,61800.0,20.9,22.4,20.85,21.25,84500.0,25.25
2005-11-24,20.7,22.4,20.7,22.4,26500.0,20.5,21.0,20.5,20.85,39700.0,21.0,21.0,20.5,20.5,78000.0,21.25,21.25,20.3,20.5,24900.0,21.6,21.6,21.0,21.25,61800.0,24.35
2005-11-25,22.2,22.25,21.3,22.15,40200.0,20.7,22.4,20.7,22.4,26500.0,20.5,21.0,20.5,20.85,39700.0,21.0,21.0,20.5,20.5,78000.0,21.25,21.25,20.3,20.5,24900.0,25.45
2005-11-28,22.15,22.15,21.0,21.0,24900.0,22.2,22.25,21.3,22.15,40200.0,20.7,22.4,20.7,22.4,26500.0,20.5,21.0,20.5,20.85,39700.0,21.0,21.0,20.5,20.5,78000.0,25.3
2005-11-29,21.0,21.35,20.75,21.0,53400.0,22.15,22.15,21.0,21.0,24900.0,22.2,22.25,21.3,22.15,40200.0,20.7,22.4,20.7,22.4,26500.0,20.5,21.0,20.5,20.85,39700.0,25.6
2005-11-30,20.95,21.95,20.9,21.95,49600.0,21.0,21.35,20.75,21.0,53400.0,22.15,22.15,21.0,21.0,24900.0,22.2,22.25,21.3,22.15,40200.0,20.7,22.4,20.7,22.4,26500.0,26.5
2005-12-01,21.95,25.5,21.95,25.25,32900.0,20.95,21.95,20.9,21.95,49600.0,21.0,21.35,20.75,21.0,53400.0,22.15,22.15,21.0,21.0,24900.0,22.2,22.25,21.3,22.15,40200.0,27.3
2005-12-02,25.5,25.5,23.55,24.35,25400.0,21.95,25.5,21.95,25.25,32900.0,20.95,21.95,20.9,21.95,49600.0,21.0,21.35,20.75,21.0,53400.0,22.15,22.15,21.0,21.0,24900.0,27.0
2005-12-05,24.25,26.0,24.0,25.45,29500.0,25.5,25.5,23.55,24.35,25400.0,21.95,25.5,21.95,25.25,32900.0,20.95,21.95,20.9,21.95,49600.0,21.0,21.35,20.75,21.0,53400.0,26.55
2005-12-06,25.4,26.0,25.2,25.3,37500.0,24.25,26.0,24.0,25.45,29500.0,25.5,25.5,23.55,24.35,25400.0,21.95,25.5,21.95,25.25,32900.0,20.95,21.95,20.9,21.95,49600.0,26.5
2005-12-07,25.5,25.95,25.3,25.6,28600.0,25.4,26.0,25.2,25.3,37500.0,24.25,26.0,24.0,25.45,29500.0,25.5,25.5,23.55,24.35,25400.0,21.95,25.5,21.95,25.25,32900.0,27.25
2005-12-08,25.95,26.7,25.8,26.5,23200.0,25.5,25.95,25.3,25.6,28600.0,25.4,26.0,25.2,25.3,37500.0,24.25,26.0,24.0,25.45,29500.0,25.5,25.5,23.55,24.35,25400.0,26.75
2005-12-09,27.0,27.45,26.25,27.3,22500.0,25.95,26.7,25.8,26.5,23200.0,25.5,25.95,25.3,25.6,28600.0,25.4,26.0,25.2,25.3,37500.0,24.25,26.0,24.0,25.45,29500.0,27.45
2005-12-12,27.25,27.5,26.5,27.0,27500.0,27.0,27.45,26.25,27.3,22500.0,25.95,26.7,25.8,26.5,23200.0,25.5,25.95,25.3,25.6,28600.0,25.4,26.0,25.2,25.3,37500.0,27.2
2005-12-13,26.7,27.0,26.5,26.55,14800.0,27.25,27.5,26.5,27.0,27500.0,27.0,27.45,26.25,27.3,22500.0,25.95,26.7,25.8,26.5,23200.0,25.5,25.95,25.3,25.6,28600.0,26.05
2005-12-14,26.75,27.2,26.0,26.5,20100.0,26.7,27.0,26.5,26.55,14800.0,27.25,27.5,26.5,27.0,27500.0,27.0,27.45,26.25,27.3,22500.0,25.95,26.7,25.8,26.5,23200.0,26.45
2005-12-15,26.45,27.25,26.3,27.25,14500.0,26.75,27.2,26.0,26.5,20100.0,26.7,27.0,26.5,26.55,14800.0,27.25,27.5,26.5,27.0,27500.0,27.0,27.45,26.25,27.3,22500.0,26.25
