date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2010-12-01,20.33,20.55,20.33,20.5,900700.0,20.53,20.53,20.25,20.27,351700.0,20.65,20.65,20.46,20.5,324800.0,20.74,20.75,20.5,20.5,599600.0,20.75,20.75,20.45,20.5,168000.0,20.32
2010-12-02,20.5,20.53,20.35,20.36,467000.0,20.33,20.55,20.33,20.5,900700.0,20.53,20.53,20.25,20.27,351700.0,20.65,20.65,20.46,20.5,324800.0,20.74,20.75,20.5,20.5,599600.0,20.25
2010-12-03,20.5,20.5,20.3,20.35,233100.0,20.5,20.53,20.35,20.36,467000.0,20.33,20.55,20.33,20.5,900700.0,20.53,20.53,20.25,20.27,351700.0,20.65,20.65,20.46,20.5,324800.0,20.25
2010-12-06,20.45,20.5,20.35,20.49,339100.0,20.5,20.5,20.3,20.35,233100.0,20.5,20.53,20.35,20.36,467000.0,20.33,20.55,20.33,20.5,900700.0,20.53,20.53,20.25,20.27,351700.0,20.35
2010-12-07,20.49,20.5,20.39,20.39,269000.0,20.45,20.5,20.35,20.49,339100.0,20.5,20.5,20.3,20.35,233100.0,20.5,20.53,20.35,20.36,467000.0,20.33,20.55,20.33,20.5,900700.0,20.3
2010-12-08,20.5,20.5,20.32,20.43,334500.0,20.49,20.5,20.39,20.39,269000.0,20.45,20.5,20.35,20.49,339100.0,20.5,20.5,20.3,20.35,233100.0,20.5,20.53,20.35,20.36,467000.0,20.2
2010-12-09,20.43,20.44,20.28,20.32,793400.0,20.5,20.5,20.32,20.43,334500.0,20.49,20.5,20.39,20.39,269000.0,20.45,20.5,20.35,20.49,339100.0,20.5,20.5,20.3,20.35,233100.0,20.15
2010-12-10,20.39,20.39,20.2,20.25,128200.0,20.43,20.44,20.28,20.32,793400.0,20.5,20.5,20.32,20.43,334500.0,20.49,20.5,20.39,20.39,269000.0,20.45,20.5,20.35,20.49,339100.0,20.3
2010-12-13,20.31,20.31,20.2,20.25,962500.0,20.39,20.39,20.2,20.25,128200.0,20.43,20.44,20.28,20.32,793400.0,20.5,20.5,20.32,20.43,334500.0,20.49,20.5,20.39,20.39,269000.0,21.1
2010-12-14,20.35,20.5,20.25,20.35,1098300.0,20.31,20.31,20.2,20.25,962500.0,20.39,20.39,20.2,20.25,128200.0,20.43,20.44,20.28,20.32,793400.0,20.5,20.5,20.32,20.43,334500.0,21.0
2010-12-15,20.4,20.42,20.15,20.3,155800.0,20.35,20.5,20.25,20.35,1098300.0,20.31,20.31,20.2,20.25,962500.0,20.39,20.39,20.2,20.25,128200.0,20.43,20.44,20.28,20.32,793400.0,21.25
2010-12-16,20.35,20.35,20.15,20.2,444600.0,20.4,20.42,20.15,20.3,155800.0,20.35,20.5,20.25,20.35,1098300.0,20.31,20.31,20.2,20.25,962500.0,20.39,20.39,20.2,20.25,128200.0,21.5
2010-12-17,20.2,20.2,20.05,20.15,734100.0,20.35,20.35,20.15,20.2,444600.0,20.4,20.42,20.15,20.3,155800.0,20.35,20.5,20.25,20.35,1098300.0,20.31,20.31,20.2,20.25,962500.0,21.75
2010-12-20,20.25,20.38,20.2,20.3,601800.0,20.2,20.2,20.05,20.15,734100.0,20.35,20.35,20.15,20.2,444600.0,20.4,20.42,20.15,20.3,155800.0,20.35,20.5,20.25,20.35,1098300.0,21.8
2010-12-21,20.34,21.17,20.33,21.1,218700.0,20.25,20.38,20.2,20.3,601800.0,20.2,20.2,20.05,20.15,734100.0,20.35,20.35,20.15,20.2,444600.0,20.4,20.42,20.15,20.3,155800.0,21.8
2010-12-22,21.25,21.75,21.0,21.0,118300.0,20.34,21.17,20.33,21.1,218700.0,20.25,20.38,20.2,20.3,601800.0,20.2,20.2,20.05,20.15,734100.0,20.35,20.35,20.15,20.2,444600.0,21.51
2010-12-23,21.15,21.3,21.0,21.25,382100.0,21.25,21.75,21.0,21.0,118300.0,20.34,21.17,20.33,21.1,218700.0,20.25,20.38,20.2,20.3,601800.0,20.2,20.2,20.05,20.15,734100.0,21.52
2010-12-24,21.33,21.5,21.33,21.5,22400.0,21.15,21.3,21.0,21.25,382100.0,21.25,21.75,21.0,21.0,118300.0,20.34,21.17,20.33,21.1,218700.0,20.25,20.38,20.2,20.3,601800.0,21.61
2010-12-29,21.45,22.0,21.4,21.75,227500.0,21.33,21.5,21.33,21.5,22400.0,21.15,21.3,21.0,21.25,382100.0,21.25,21.75,21.0,21.0,118300.0,20.34,21.17,20.33,21.1,218700.0,21.78
2010-12-30,21.93,21.93,21.78,21.8,609200.0,21.45,22.0,21.4,21.75,227500.0,21.33,21.5,21.33,21.5,22400.0,21.15,21.3,21.0,21.25,382100.0,21.25,21.75,21.0,21.0,118300.0,21.79
2010-12-31,21.8,21.8,21.68,21.8,36000.0,21.93,21.93,21.78,21.8,609200.0,21.45,22.0,21.4,21.75,227500.0,21.33,21.5,21.33,21.5,22400.0,21.15,21.3,21.0,21.25,382100.0,21.78
2011-01-04,21.88,21.88,21.45,21.51,451700.0,21.8,21.8,21.68,21.8,36000.0,21.93,21.93,21.78,21.8,609200.0,21.45,22.0,21.4,21.75,227500.0,21.33,21.5,21.33,21.5,22400.0,22.09
