date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2015-08-11,18.0,18.1,17.98,18.01,98700.0,17.95,18.05,17.9,18.0,162100.0,17.95,17.98,17.84,17.98,118200.0,18.05,18.05,17.81,17.99,354000.0,18.15,18.15,18.0,18.02,92100.0,18.51
2015-08-12,18.04,18.05,17.99,18.04,479800.0,18.0,18.1,17.98,18.01,98700.0,17.95,18.05,17.9,18.0,162100.0,17.95,17.98,17.84,17.98,118200.0,18.05,18.05,17.81,17.99,354000.0,18.4
2015-08-13,18.05,18.16,18.01,18.16,301900.0,18.04,18.05,17.99,18.04,479800.0,18.0,18.1,17.98,18.01,98700.0,17.95,18.05,17.9,18.0,162100.0,17.95,17.98,17.84,17.98,118200.0,18.3
2015-08-14,18.18,18.18,18.06,18.1,52200.0,18.05,18.16,18.01,18.16,301900.0,18.04,18.05,17.99,18.04,479800.0,18.0,18.1,17.98,18.01,98700.0,17.95,18.05,17.9,18.0,162100.0,17.74
2015-08-17,18.06,18.6,18.06,18.45,17700.0,18.18,18.18,18.06,18.1,52200.0,18.05,18.16,18.01,18.16,301900.0,18.04,18.05,17.99,18.04,479800.0,18.0,18.1,17.98,18.01,98700.0,18.14
2015-08-18,18.4,18.4,18.23,18.25,5000.0,18.06,18.6,18.06,18.45,17700.0,18.18,18.18,18.06,18.1,52200.0,18.05,18.16,18.01,18.16,301900.0,18.04,18.05,17.99,18.04,479800.0,18.7
2015-08-19,18.29,18.51,18.29,18.51,41900.0,18.4,18.4,18.23,18.25,5000.0,18.06,18.6,18.06,18.45,17700.0,18.18,18.18,18.06,18.1,52200.0,18.05,18.16,18.01,18.16,301900.0,18.75
2015-08-20,19.4,19.4,18.35,18.4,57500.0,18.29,18.51,18.29,18.51,41900.0,18.4,18.4,18.23,18.25,5000.0,18.06,18.6,18.06,18.45,17700.0,18.18,18.18,18.06,18.1,52200.0,18.75
2015-08-21,18.4,18.4,18.3,18.3,30100.0,19.4,19.4,18.35,18.4,57500.0,18.29,18.51,18.29,18.51,41900.0,18.4,18.4,18.23,18.25,5000.0,18.06,18.6,18.06,18.45,17700.0,19.15
2015-08-24,18.0,18.0,17.72,17.74,47500.0,18.4,18.4,18.3,18.3,30100.0,19.4,19.4,18.35,18.4,57500.0,18.29,18.51,18.29,18.51,41900.0,18.4,18.4,18.23,18.25,5000.0,19.25
