date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2010-07-29,1.0,1.0,1.0,1.0,0.0,1.08,1.08,1.0,1.0,15000.0,1.1,1.2,1.08,1.08,19100.0,1.25,1.25,1.13,1.2,16300.0,1.25,1.25,1.25,1.25,1000.0,1.2
2010-07-30,0.95,1.2,0.95,1.2,30200.0,1.0,1.0,1.0,1.0,0.0,1.08,1.08,1.0,1.0,15000.0,1.1,1.2,1.08,1.08,19100.0,1.25,1.25,1.13,1.2,16300.0,1.15
2010-08-03,1.1,1.2,1.1,1.2,7200.0,0.95,1.2,0.95,1.2,30200.0,1.0,1.0,1.0,1.0,0.0,1.08,1.08,1.0,1.0,15000.0,1.1,1.2,1.08,1.08,19100.0,1.05
2010-08-04,1.1,1.1,1.0,1.0,5000.0,1.1,1.2,1.1,1.2,7200.0,0.95,1.2,0.95,1.2,30200.0,1.0,1.0,1.0,1.0,0.0,1.08,1.08,1.0,1.0,15000.0,1.1
2010-08-05,1.2,1.2,1.2,1.2,2500.0,1.1,1.1,1.0,1.0,5000.0,1.1,1.2,1.1,1.2,7200.0,0.95,1.2,0.95,1.2,30200.0,1.0,1.0,1.0,1.0,0.0,1.1
2010-08-06,1.14,1.14,1.05,1.05,79900.0,1.2,1.2,1.2,1.2,2500.0,1.1,1.1,1.0,1.0,5000.0,1.1,1.2,1.1,1.2,7200.0,0.95,1.2,0.95,1.2,30200.0,1.24
2010-08-09,1.05,1.2,1.05,1.2,17000.0,1.14,1.14,1.05,1.05,79900.0,1.2,1.2,1.2,1.2,2500.0,1.1,1.1,1.0,1.0,5000.0,1.1,1.2,1.1,1.2,7200.0,1.3
2010-08-10,1.15,1.15,1.15,1.15,9000.0,1.05,1.2,1.05,1.2,17000.0,1.14,1.14,1.05,1.05,79900.0,1.2,1.2,1.2,1.2,2500.0,1.1,1.1,1.0,1.0,5000.0,1.3
2010-08-11,1.06,1.06,1.05,1.05,10000.0,1.15,1.15,1.15,1.15,9000.0,1.05,1.2,1.05,1.2,17000.0,1.14,1.14,1.05,1.05,79900.0,1.2,1.2,1.2,1.2,2500.0,1.25
2010-08-12,1.1,1.1,1.1,1.1,5000.0,1.06,1.06,1.05,1.05,10000.0,1.15,1.15,1.15,1.15,9000.0,1.05,1.2,1.05,1.2,17000.0,1.14,1.14,1.05,1.05,79900.0,1.2
2010-08-13,1.1,1.1,1.1,1.1,1000.0,1.1,1.1,1.1,1.1,5000.0,1.06,1.06,1.05,1.05,10000.0,1.15,1.15,1.15,1.15,9000.0,1.05,1.2,1.05,1.2,17000.0,1.2
2010-08-16,1.1,1.24,1.1,1.24,5600.0,1.1,1.1,1.1,1.1,1000.0,1.1,1.1,1.1,1.1,5000.0,1.06,1.06,1.05,1.05,10000.0,1.15,1.15,1.15,1.15,9000.0,1.15
2010-08-17,1.26,1.3,1.26,1.3,7000.0,1.1,1.24,1.1,1.24,5600.0,1.1,1.1,1.1,1.1,1000.0,1.1,1.1,1.1,1.1,5000.0,1.06,1.06,1.05,1.05,10000.0,1.15
2010-08-18,1.28,1.3,1.28,1.3,4100.0,1.26,1.3,1.26,1.3,7000.0,1.1,1.24,1.1,1.24,5600.0,1.1,1.1,1.1,1.1,1000.0,1.1,1.1,1.1,1.1,5000.0,1.28
2010-08-19,1.3,1.3,1.22,1.25,15900.0,1.28,1.3,1.28,1.3,4100.0,1.26,1.3,1.26,1.3,7000.0,1.1,1.24,1.1,1.24,5600.0,1.1,1.1,1.1,1.1,1000.0,1.28
2010-08-20,1.25,1.25,1.2,1.2,6000.0,1.3,1.3,1.22,1.25,15900.0,1.28,1.3,1.28,1.3,4100.0,1.26,1.3,1.26,1.3,7000.0,1.1,1.24,1.1,1.24,5600.0,1.25
2010-08-23,1.2,1.2,1.2,1.2,0.0,1.25,1.25,1.2,1.2,6000.0,1.3,1.3,1.22,1.25,15900.0,1.28,1.3,1.28,1.3,4100.0,1.26,1.3,1.26,1.3,7000.0,1.25
2010-08-24,1.15,1.15,1.15,1.15,10000.0,1.2,1.2,1.2,1.2,0.0,1.25,1.25,1.2,1.2,6000.0,1.3,1.3,1.22,1.25,15900.0,1.28,1.3,1.28,1.3,4100.0,1.3
2010-08-25,1.15,1.15,1.15,1.15,0.0,1.15,1.15,1.15,1.15,10000.0,1.2,1.2,1.2,1.2,0.0,1.25,1.25,1.2,1.2,6000.0,1.3,1.3,1.22,1.25,15900.0,1.35
2010-08-26,1.28,1.28,1.28,1.28,1900.0,1.15,1.15,1.15,1.15,0.0,1.15,1.15,1.15,1.15,10000.0,1.2,1.2,1.2,1.2,0.0,1.25,1.25,1.2,1.2,6000.0,1.35
2010-08-27,1.28,1.28,1.28,1.28,0.0,1.28,1.28,1.28,1.28,1900.0,1.15,1.15,1.15,1.15,0.0,1.15,1.15,1.15,1.15,10000.0,1.2,1.2,1.2,1.2,0.0,1.35
