date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,7.025,7.175,7.0,7.075,38200.0,7.125,7.175,7.075,7.075,48000.0,7.05,7.225,7.05,7.125,89800.0,7.0,7.125,7.0,7.05,9800.0,7.025,7.1,7.0,7.1,21000.0,6.7
2000-01-13,7.025,7.125,7.0,7.125,41000.0,7.025,7.175,7.0,7.075,38200.0,7.125,7.175,7.075,7.075,48000.0,7.05,7.225,7.05,7.125,89800.0,7.0,7.125,7.0,7.05,9800.0,6.7
2000-01-14,7.125,7.125,7.0,7.025,98200.0,7.025,7.125,7.0,7.125,41000.0,7.025,7.175,7.0,7.075,38200.0,7.125,7.175,7.075,7.075,48000.0,7.05,7.225,7.05,7.125,89800.0,6.65
2000-01-17,7.125,7.125,7.0,7.0,11600.0,7.125,7.125,7.0,7.025,98200.0,7.025,7.125,7.0,7.125,41000.0,7.025,7.175,7.0,7.075,38200.0,7.125,7.175,7.075,7.075,48000.0,6.8
2000-01-18,7.0,7.0,6.875,6.925,55600.0,7.125,7.125,7.0,7.0,11600.0,7.125,7.125,7.0,7.025,98200.0,7.025,7.125,7.0,7.125,41000.0,7.025,7.175,7.0,7.075,38200.0,6.65
2000-01-19,6.9,6.9,6.75,6.875,38400.0,7.0,7.0,6.875,6.925,55600.0,7.125,7.125,7.0,7.0,11600.0,7.125,7.125,7.0,7.025,98200.0,7.025,7.125,7.0,7.125,41000.0,6.65
2000-01-20,6.625,6.775,6.625,6.7,17600.0,6.9,6.9,6.75,6.875,38400.0,7.0,7.0,6.875,6.925,55600.0,7.125,7.125,7.0,7.0,11600.0,7.125,7.125,7.0,7.025,98200.0,6.65
2000-01-21,6.625,6.725,6.625,6.7,20600.0,6.625,6.775,6.625,6.7,17600.0,6.9,6.9,6.75,6.875,38400.0,7.0,7.0,6.875,6.925,55600.0,7.125,7.125,7.0,7.0,11600.0,6.475
2000-01-24,6.65,6.675,6.575,6.65,25600.0,6.625,6.725,6.625,6.7,20600.0,6.625,6.775,6.625,6.7,17600.0,6.9,6.9,6.75,6.875,38400.0,7.0,7.0,6.875,6.925,55600.0,6.475
2000-01-25,6.575,6.925,6.4,6.8,49600.0,6.65,6.675,6.575,6.65,25600.0,6.625,6.725,6.625,6.7,20600.0,6.625,6.775,6.625,6.7,17600.0,6.9,6.9,6.75,6.875,38400.0,6.5
2000-01-26,6.7,6.75,6.65,6.65,23400.0,6.575,6.925,6.4,6.8,49600.0,6.65,6.675,6.575,6.65,25600.0,6.625,6.725,6.625,6.7,20600.0,6.625,6.775,6.625,6.7,17600.0,6.525
2000-01-27,6.65,6.65,6.65,6.65,128600.0,6.7,6.75,6.65,6.65,23400.0,6.575,6.925,6.4,6.8,49600.0,6.65,6.675,6.575,6.65,25600.0,6.625,6.725,6.625,6.7,20600.0,6.975
2000-01-28,6.65,6.75,6.65,6.65,12200.0,6.65,6.65,6.65,6.65,128600.0,6.7,6.75,6.65,6.65,23400.0,6.575,6.925,6.4,6.8,49600.0,6.65,6.675,6.575,6.65,25600.0,7.075
2000-01-31,6.55,6.55,6.475,6.475,18000.0,6.65,6.75,6.65,6.65,12200.0,6.65,6.65,6.65,6.65,128600.0,6.7,6.75,6.65,6.65,23400.0,6.575,6.925,6.4,6.8,49600.0,7.025
2000-02-01,6.475,6.475,6.475,6.475,11400.0,6.55,6.55,6.475,6.475,18000.0,6.65,6.75,6.65,6.65,12200.0,6.65,6.65,6.65,6.65,128600.0,6.7,6.75,6.65,6.65,23400.0,6.875
2000-02-02,6.4,6.5,6.375,6.5,47000.0,6.475,6.475,6.475,6.475,11400.0,6.55,6.55,6.475,6.475,18000.0,6.65,6.75,6.65,6.65,12200.0,6.65,6.65,6.65,6.65,128600.0,6.425
2000-02-03,6.5,6.525,6.5,6.525,14800.0,6.4,6.5,6.375,6.5,47000.0,6.475,6.475,6.475,6.475,11400.0,6.55,6.55,6.475,6.475,18000.0,6.65,6.75,6.65,6.65,12200.0,6.275
2000-02-04,6.6,6.975,6.575,6.975,92600.0,6.5,6.525,6.5,6.525,14800.0,6.4,6.5,6.375,6.5,47000.0,6.475,6.475,6.475,6.475,11400.0,6.55,6.55,6.475,6.475,18000.0,5.875
2000-02-07,6.75,7.25,6.75,7.075,22600.0,6.6,6.975,6.575,6.975,92600.0,6.5,6.525,6.5,6.525,14800.0,6.4,6.5,6.375,6.5,47000.0,6.475,6.475,6.475,6.475,11400.0,5.725
2000-02-08,7.025,7.425,7.025,7.025,46800.0,6.75,7.25,6.75,7.075,22600.0,6.6,6.975,6.575,6.975,92600.0,6.5,6.525,6.5,6.525,14800.0,6.4,6.5,6.375,6.5,47000.0,5.675
