date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2014-11-07,22.5,23.99,22.01,23.71,515600.0,22.25,22.48,21.69,22.38,546300.0,21.0,22.5,21.0,22.25,801100.0,22.35,22.35,20.59,21.25,919000.0,22.75,23.35,22.01,22.45,1036600.0,22.6
2014-11-10,23.7,24.7,23.29,24.175,1329800.0,22.5,23.99,22.01,23.71,515600.0,22.25,22.48,21.69,22.38,546300.0,21.0,22.5,21.0,22.25,801100.0,22.35,22.35,20.59,21.25,919000.0,22.1
2014-11-11,24.14,24.49,23.8,24.4,105000.0,23.7,24.7,23.29,24.175,1329800.0,22.5,23.99,22.01,23.71,515600.0,22.25,22.48,21.69,22.38,546300.0,21.0,22.5,21.0,22.25,801100.0,21.7
2014-11-12,24.05,24.25,23.15,23.7,374700.0,24.14,24.49,23.8,24.4,105000.0,23.7,24.7,23.29,24.175,1329800.0,22.5,23.99,22.01,23.71,515600.0,22.25,22.48,21.69,22.38,546300.0,21.8
2014-11-13,24.2,24.2,21.93,22.88,399400.0,24.05,24.25,23.15,23.7,374700.0,24.14,24.49,23.8,24.4,105000.0,23.7,24.7,23.29,24.175,1329800.0,22.5,23.99,22.01,23.71,515600.0,22.0
2014-11-14,22.37,23.0,22.37,22.65,308300.0,24.2,24.2,21.93,22.88,399400.0,24.05,24.25,23.15,23.7,374700.0,24.14,24.49,23.8,24.4,105000.0,23.7,24.7,23.29,24.175,1329800.0,22.0
2014-11-17,22.45,23.25,22.29,22.6,125600.0,22.37,23.0,22.37,22.65,308300.0,24.2,24.2,21.93,22.88,399400.0,24.05,24.25,23.15,23.7,374700.0,24.14,24.49,23.8,24.4,105000.0,22.3
2014-11-18,22.53,22.6,21.8,22.1,206500.0,22.45,23.25,22.29,22.6,125600.0,22.37,23.0,22.37,22.65,308300.0,24.2,24.2,21.93,22.88,399400.0,24.05,24.25,23.15,23.7,374700.0,21.8
2014-11-19,22.25,22.4,21.4,21.7,212400.0,22.53,22.6,21.8,22.1,206500.0,22.45,23.25,22.29,22.6,125600.0,22.37,23.0,22.37,22.65,308300.0,24.2,24.2,21.93,22.88,399400.0,18.75
2014-11-20,21.6,22.05,21.6,21.8,163800.0,22.25,22.4,21.4,21.7,212400.0,22.53,22.6,21.8,22.1,206500.0,22.45,23.25,22.29,22.6,125600.0,22.37,23.0,22.37,22.65,308300.0,15.37
2014-11-21,21.96,22.15,21.6,22.0,379900.0,21.6,22.05,21.6,21.8,163800.0,22.25,22.4,21.4,21.7,212400.0,22.53,22.6,21.8,22.1,206500.0,22.45,23.25,22.29,22.6,125600.0,16.57
2014-11-24,22.0,22.18,21.66,22.0,452300.0,21.96,22.15,21.6,22.0,379900.0,21.6,22.05,21.6,21.8,163800.0,22.25,22.4,21.4,21.7,212400.0,22.53,22.6,21.8,22.1,206500.0,17.6
2014-11-25,22.19,22.45,21.41,22.3,306800.0,22.0,22.18,21.66,22.0,452300.0,21.96,22.15,21.6,22.0,379900.0,21.6,22.05,21.6,21.8,163800.0,22.25,22.4,21.4,21.7,212400.0,18.46
2014-11-26,22.24,22.24,21.65,21.8,414200.0,22.19,22.45,21.41,22.3,306800.0,22.0,22.18,21.66,22.0,452300.0,21.96,22.15,21.6,22.0,379900.0,21.6,22.05,21.6,21.8,163800.0,17.2
2014-11-27,21.61,21.7,18.3,18.75,691800.0,22.24,22.24,21.65,21.8,414200.0,22.19,22.45,21.41,22.3,306800.0,22.0,22.18,21.66,22.0,452300.0,21.96,22.15,21.6,22.0,379900.0,16.7
2014-11-28,18.46,18.59,15.07,15.37,981300.0,21.61,21.7,18.3,18.75,691800.0,22.24,22.24,21.65,21.8,414200.0,22.19,22.45,21.41,22.3,306800.0,22.0,22.18,21.66,22.0,452300.0,16.0
2014-12-01,15.54,16.57,14.39,16.57,748900.0,18.46,18.59,15.07,15.37,981300.0,21.61,21.7,18.3,18.75,691800.0,22.24,22.24,21.65,21.8,414200.0,22.19,22.45,21.41,22.3,306800.0,17.94
2014-12-02,16.37,17.91,16.36,17.6,414900.0,15.54,16.57,14.39,16.57,748900.0,18.46,18.59,15.07,15.37,981300.0,21.61,21.7,18.3,18.75,691800.0,22.24,22.24,21.65,21.8,414200.0,16.04
