date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2002-01-25,5.0,5.5,5.0,5.5,1200.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,200.0,6.0,6.0,6.0,6.0,0.0,5.5
2002-01-28,5.5,5.5,5.5,5.5,0.0,5.0,5.5,5.0,5.5,1200.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,200.0,5.5
2002-01-29,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.0,5.5,5.0,5.5,1200.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.5
2002-01-30,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.0,5.5,5.0,5.5,1200.0,5.0,5.0,5.0,5.0,0.0,5.5
2002-01-31,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.0,5.5,5.0,5.5,1200.0,4.5
2002-02-01,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,4.5
2002-02-04,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,4.5
2002-02-05,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,4.5
2002-02-06,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.1
2002-02-07,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.1
2002-02-08,4.5,4.5,4.5,4.5,200.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.1
2002-02-11,4.5,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,200.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,4.5
2002-02-12,4.5,4.5,4.5,4.5,200.0,4.5,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,200.0,5.5,5.5,5.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,4.2
2002-02-13,4.5,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,200.0,4.5,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,200.0,5.5,5.5,5.5,5.5,0.0,4.2
2002-02-14,5.0,5.1,5.0,5.1,500.0,4.5,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,200.0,4.5,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,200.0,4.2
2002-02-15,5.1,5.1,5.1,5.1,0.0,5.0,5.1,5.0,5.1,500.0,4.5,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,200.0,4.5,4.5,4.5,4.5,0.0,4.2
2002-02-18,5.1,5.1,5.1,5.1,0.0,5.1,5.1,5.1,5.1,0.0,5.0,5.1,5.0,5.1,500.0,4.5,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,200.0,4.2
2002-02-19,5.0,5.0,4.5,4.5,300.0,5.1,5.1,5.1,5.1,0.0,5.1,5.1,5.1,5.1,0.0,5.0,5.1,5.0,5.1,500.0,4.5,4.5,4.5,4.5,0.0,4.2
2002-02-20,4.2,4.2,4.2,4.2,1000.0,5.0,5.0,4.5,4.5,300.0,5.1,5.1,5.1,5.1,0.0,5.1,5.1,5.1,5.1,0.0,5.0,5.1,5.0,5.1,500.0,4.2
2002-02-21,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,1000.0,5.0,5.0,4.5,4.5,300.0,5.1,5.1,5.1,5.1,0.0,5.1,5.1,5.1,5.1,0.0,3.2
2002-02-22,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,1000.0,5.0,5.0,4.5,4.5,300.0,5.1,5.1,5.1,5.1,0.0,3.2
2002-02-25,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,1000.0,5.0,5.0,4.5,4.5,300.0,3.2
2002-02-26,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,1000.0,3.2
2002-02-27,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,3.2
2002-02-28,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,3.2
2002-03-01,3.3,3.3,3.2,3.2,600.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,3.2
2002-03-04,3.2,3.2,3.2,3.2,0.0,3.3,3.3,3.2,3.2,600.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,3.2
2002-03-05,3.2,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,0.0,3.3,3.3,3.2,3.2,600.0,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,0.0,3.2
2002-03-06,3.2,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,0.0,3.3,3.3,3.2,3.2,600.0,4.2,4.2,4.2,4.2,0.0,3.2
2002-03-07,3.2,3.2,3.2,3.2,100.0,3.2,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,0.0,3.3,3.3,3.2,3.2,600.0,3.2
2002-03-08,3.2,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,100.0,3.2,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,0.0,3.2
2002-03-11,3.2,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,100.0,3.2,3.2,3.2,3.2,0.0,3.2,3.2,3.2,3.2,0.0,3.2
