date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,7.5333,7.5556,7.4444,7.5556,91500.0,7.5333,7.5556,7.4444,7.5556,32800.0,7.8889,7.8889,7.3333,7.3333,78700.0,7.9556,7.9556,7.8444,7.8889,55000.0,8.1111,8.1111,7.8667,7.8889,70800.0,7.5333
2000-01-13,7.5556,7.5556,7.3333,7.4222,49600.0,7.5333,7.5556,7.4444,7.5556,91500.0,7.5333,7.5556,7.4444,7.5556,32800.0,7.8889,7.8889,7.3333,7.3333,78700.0,7.9556,7.9556,7.8444,7.8889,55000.0,7.5556
2000-01-14,7.5333,7.5556,7.4667,7.5556,145500.0,7.5556,7.5556,7.3333,7.4222,49600.0,7.5333,7.5556,7.4444,7.5556,91500.0,7.5333,7.5556,7.4444,7.5556,32800.0,7.8889,7.8889,7.3333,7.3333,78700.0,7.5111
2000-01-17,7.5556,7.5556,7.5333,7.5333,33700.0,7.5333,7.5556,7.4667,7.5556,145500.0,7.5556,7.5556,7.3333,7.4222,49600.0,7.5333,7.5556,7.4444,7.5556,91500.0,7.5333,7.5556,7.4444,7.5556,32800.0,7.5556
2000-01-18,7.5556,7.5556,7.5111,7.5556,111100.0,7.5556,7.5556,7.5333,7.5333,33700.0,7.5333,7.5556,7.4667,7.5556,145500.0,7.5556,7.5556,7.3333,7.4222,49600.0,7.5333,7.5556,7.4444,7.5556,91500.0,7.6
2000-01-19,7.5556,7.5556,7.4889,7.5556,46900.0,7.5556,7.5556,7.5111,7.5556,111100.0,7.5556,7.5556,7.5333,7.5333,33700.0,7.5333,7.5556,7.4667,7.5556,145500.0,7.5556,7.5556,7.3333,7.4222,49600.0,7.5556
2000-01-20,7.5556,7.5556,7.4444,7.5333,71200.0,7.5556,7.5556,7.4889,7.5556,46900.0,7.5556,7.5556,7.5111,7.5556,111100.0,7.5556,7.5556,7.5333,7.5333,33700.0,7.5333,7.5556,7.4667,7.5556,145500.0,7.5111
2000-01-21,7.5556,7.5556,7.5333,7.5556,87000.0,7.5556,7.5556,7.4444,7.5333,71200.0,7.5556,7.5556,7.4889,7.5556,46900.0,7.5556,7.5556,7.5111,7.5556,111100.0,7.5556,7.5556,7.5333,7.5333,33700.0,7.4889
2000-01-24,7.5556,7.6667,7.5111,7.5111,170100.0,7.5556,7.5556,7.5333,7.5556,87000.0,7.5556,7.5556,7.4444,7.5333,71200.0,7.5556,7.5556,7.4889,7.5556,46900.0,7.5556,7.5556,7.5111,7.5556,111100.0,7.4
2000-01-25,7.5333,7.6222,7.5111,7.5556,54100.0,7.5556,7.6667,7.5111,7.5111,170100.0,7.5556,7.5556,7.5333,7.5556,87000.0,7.5556,7.5556,7.4444,7.5333,71200.0,7.5556,7.5556,7.4889,7.5556,46900.0,7.6222
2000-01-26,7.5556,7.6444,7.5333,7.6,27100.0,7.5333,7.6222,7.5111,7.5556,54100.0,7.5556,7.6667,7.5111,7.5111,170100.0,7.5556,7.5556,7.5333,7.5556,87000.0,7.5556,7.5556,7.4444,7.5333,71200.0,7.6222
2000-01-27,7.6222,7.6222,7.5556,7.5556,28000.0,7.5556,7.6444,7.5333,7.6,27100.0,7.5333,7.6222,7.5111,7.5556,54100.0,7.5556,7.6667,7.5111,7.5111,170100.0,7.5556,7.5556,7.5333,7.5556,87000.0,7.5333
2000-01-28,7.4444,7.5556,7.2,7.5111,13500.0,7.6222,7.6222,7.5556,7.5556,28000.0,7.5556,7.6444,7.5333,7.6,27100.0,7.5333,7.6222,7.5111,7.5556,54100.0,7.5556,7.6667,7.5111,7.5111,170100.0,7.3333
2000-01-31,7.5333,7.5333,7.2,7.4889,10300.0,7.4444,7.5556,7.2,7.5111,13500.0,7.6222,7.6222,7.5556,7.5556,28000.0,7.5556,7.6444,7.5333,7.6,27100.0,7.5333,7.6222,7.5111,7.5556,54100.0,7.3778
