date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2004-12-09,3.3,3.5,3.25,3.5,318700.0,3.1,3.3,3.0,3.3,270600.0,3.45,3.45,3.15,3.3,1614100.0,3.55,3.55,3.25,3.45,211300.0,3.6,3.6,3.5,3.55,119400.0,3.75
2004-12-10,3.5,3.5,3.3,3.4,667400.0,3.3,3.5,3.25,3.5,318700.0,3.1,3.3,3.0,3.3,270600.0,3.45,3.45,3.15,3.3,1614100.0,3.55,3.55,3.25,3.45,211300.0,3.95
2004-12-13,3.4,3.75,3.35,3.7,1119400.0,3.5,3.5,3.3,3.4,667400.0,3.3,3.5,3.25,3.5,318700.0,3.1,3.3,3.0,3.3,270600.0,3.45,3.45,3.15,3.3,1614100.0,3.83
2004-12-14,3.85,3.9,3.55,3.65,1086500.0,3.4,3.75,3.35,3.7,1119400.0,3.5,3.5,3.3,3.4,667400.0,3.3,3.5,3.25,3.5,318700.0,3.1,3.3,3.0,3.3,270600.0,3.8
2004-12-15,3.7,3.8,3.6,3.8,349100.0,3.85,3.9,3.55,3.65,1086500.0,3.4,3.75,3.35,3.7,1119400.0,3.5,3.5,3.3,3.4,667400.0,3.3,3.5,3.25,3.5,318700.0,3.74
2004-12-16,3.8,3.8,3.6,3.65,587800.0,3.7,3.8,3.6,3.8,349100.0,3.85,3.9,3.55,3.65,1086500.0,3.4,3.75,3.35,3.7,1119400.0,3.5,3.5,3.3,3.4,667400.0,3.75
2004-12-17,3.7,3.9,3.65,3.75,1055100.0,3.8,3.8,3.6,3.65,587800.0,3.7,3.8,3.6,3.8,349100.0,3.85,3.9,3.55,3.65,1086500.0,3.4,3.75,3.35,3.7,1119400.0,0.0
2004-12-20,3.85,3.95,3.8,3.95,258100.0,3.7,3.9,3.65,3.75,1055100.0,3.8,3.8,3.6,3.65,587800.0,3.7,3.8,3.6,3.8,349100.0,3.85,3.9,3.55,3.65,1086500.0,0.0
2004-12-21,4.0,4.0,3.8,3.83,727100.0,3.85,3.95,3.8,3.95,258100.0,3.7,3.9,3.65,3.75,1055100.0,3.8,3.8,3.6,3.65,587800.0,3.7,3.8,3.6,3.8,349100.0,3.75
2004-12-22,3.84,3.87,3.8,3.8,951100.0,4.0,4.0,3.8,3.83,727100.0,3.85,3.95,3.8,3.95,258100.0,3.7,3.9,3.65,3.75,1055100.0,3.8,3.8,3.6,3.65,587800.0,3.7
2004-12-23,3.85,3.85,3.74,3.74,202000.0,3.84,3.87,3.8,3.8,951100.0,4.0,4.0,3.8,3.83,727100.0,3.85,3.95,3.8,3.95,258100.0,3.7,3.9,3.65,3.75,1055100.0,3.8
