date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2014-01-15,32.29,32.72,32.18,32.5,159300.0,31.8,32.19,31.8,32.02,194700.0,31.82,32.21,31.76,31.8,79900.0,31.04,31.9,30.96,31.74,145300.0,31.1,31.46,31.1,31.25,100700.0,33.29
2014-01-16,32.48,32.85,32.32,32.65,162000.0,32.29,32.72,32.18,32.5,159300.0,31.8,32.19,31.8,32.02,194700.0,31.82,32.21,31.76,31.8,79900.0,31.04,31.9,30.96,31.74,145300.0,33.0
2014-01-17,32.3,33.2,32.3,32.73,158400.0,32.48,32.85,32.32,32.65,162000.0,32.29,32.72,32.18,32.5,159300.0,31.8,32.19,31.8,32.02,194700.0,31.82,32.21,31.76,31.8,79900.0,32.695
2014-01-20,32.4,32.85,32.4,32.62,46600.0,32.3,33.2,32.3,32.73,158400.0,32.48,32.85,32.32,32.65,162000.0,32.29,32.72,32.18,32.5,159300.0,31.8,32.19,31.8,32.02,194700.0,32.87
2014-01-21,32.75,33.35,32.63,33.0,184000.0,32.4,32.85,32.4,32.62,46600.0,32.3,33.2,32.3,32.73,158400.0,32.48,32.85,32.32,32.65,162000.0,32.29,32.72,32.18,32.5,159300.0,33.14
2014-01-22,33.0,33.68,33.0,33.35,104100.0,32.75,33.35,32.63,33.0,184000.0,32.4,32.85,32.4,32.62,46600.0,32.3,33.2,32.3,32.73,158400.0,32.48,32.85,32.32,32.65,162000.0,33.2
2014-01-23,33.34,33.5,33.22,33.29,70700.0,33.0,33.68,33.0,33.35,104100.0,32.75,33.35,32.63,33.0,184000.0,32.4,32.85,32.4,32.62,46600.0,32.3,33.2,32.3,32.73,158400.0,33.37
2014-01-24,33.0,33.3,32.91,33.0,129900.0,33.34,33.5,33.22,33.29,70700.0,33.0,33.68,33.0,33.35,104100.0,32.75,33.35,32.63,33.0,184000.0,32.4,32.85,32.4,32.62,46600.0,33.09
2014-01-27,33.0,33.05,32.31,32.695,72400.0,33.0,33.3,32.91,33.0,129900.0,33.34,33.5,33.22,33.29,70700.0,33.0,33.68,33.0,33.35,104100.0,32.75,33.35,32.63,33.0,184000.0,33.0
2014-01-28,32.78,32.91,32.705,32.87,50200.0,33.0,33.05,32.31,32.695,72400.0,33.0,33.3,32.91,33.0,129900.0,33.34,33.5,33.22,33.29,70700.0,33.0,33.68,33.0,33.35,104100.0,33.0
