date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-11-28,3.91,3.91,3.85,3.86,26200.0,3.86,3.91,3.86,3.91,30700.0,3.85,3.95,3.83,3.91,59200.0,3.91,3.95,3.75,3.93,66000.0,3.93,3.94,3.85,3.86,66200.0,3.85
2000-11-29,3.85,3.91,3.85,3.91,40900.0,3.91,3.91,3.85,3.86,26200.0,3.86,3.91,3.86,3.91,30700.0,3.85,3.95,3.83,3.91,59200.0,3.91,3.95,3.75,3.93,66000.0,3.7
2000-11-30,3.93,3.95,3.87,3.87,60500.0,3.85,3.91,3.85,3.91,40900.0,3.91,3.91,3.85,3.86,26200.0,3.86,3.91,3.86,3.91,30700.0,3.85,3.95,3.83,3.91,59200.0,3.8
2000-12-01,3.93,3.94,3.86,3.92,38200.0,3.93,3.95,3.87,3.87,60500.0,3.85,3.91,3.85,3.91,40900.0,3.91,3.91,3.85,3.86,26200.0,3.86,3.91,3.86,3.91,30700.0,3.7
2000-12-04,3.87,3.95,3.85,3.87,28800.0,3.93,3.94,3.86,3.92,38200.0,3.93,3.95,3.87,3.87,60500.0,3.85,3.91,3.85,3.91,40900.0,3.91,3.91,3.85,3.86,26200.0,3.75
2000-12-05,3.87,3.95,3.85,3.9,69200.0,3.87,3.95,3.85,3.87,28800.0,3.93,3.94,3.86,3.92,38200.0,3.93,3.95,3.87,3.87,60500.0,3.85,3.91,3.85,3.91,40900.0,3.68
2000-12-06,3.91,3.91,3.85,3.85,55900.0,3.87,3.95,3.85,3.9,69200.0,3.87,3.95,3.85,3.87,28800.0,3.93,3.94,3.86,3.92,38200.0,3.93,3.95,3.87,3.87,60500.0,3.7
2000-12-07,3.81,3.81,3.7,3.7,83100.0,3.91,3.91,3.85,3.85,55900.0,3.87,3.95,3.85,3.9,69200.0,3.87,3.95,3.85,3.87,28800.0,3.93,3.94,3.86,3.92,38200.0,3.75
2000-12-08,3.66,3.87,3.66,3.8,72500.0,3.81,3.81,3.7,3.7,83100.0,3.91,3.91,3.85,3.85,55900.0,3.87,3.95,3.85,3.9,69200.0,3.87,3.95,3.85,3.87,28800.0,3.76
2000-12-11,3.87,3.87,3.7,3.7,73400.0,3.66,3.87,3.66,3.8,72500.0,3.81,3.81,3.7,3.7,83100.0,3.91,3.91,3.85,3.85,55900.0,3.87,3.95,3.85,3.9,69200.0,3.75
