date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2015-07-24,15.2,15.46,15.15,15.3,252600.0,15.3,15.46,15.15,15.2,50600.0,15.5,15.5,15.3,15.35,47200.0,15.45,15.73,15.41,15.55,423000.0,15.25,15.51,14.93,15.35,982600.0,14.9
2015-07-27,15.2,15.3,15.1,15.1,171000.0,15.2,15.46,15.15,15.3,252600.0,15.3,15.46,15.15,15.2,50600.0,15.5,15.5,15.3,15.35,47200.0,15.45,15.73,15.41,15.55,423000.0,14.93
2015-07-28,15.18,15.35,15.18,15.27,152700.0,15.2,15.3,15.1,15.1,171000.0,15.2,15.46,15.15,15.3,252600.0,15.3,15.46,15.15,15.2,50600.0,15.5,15.5,15.3,15.35,47200.0,15.25
2015-07-29,15.45,15.55,15.35,15.505,241900.0,15.18,15.35,15.18,15.27,152700.0,15.2,15.3,15.1,15.1,171000.0,15.2,15.46,15.15,15.3,252600.0,15.3,15.46,15.15,15.2,50600.0,15.0
2015-07-30,15.4,15.42,15.23,15.25,653100.0,15.45,15.55,15.35,15.505,241900.0,15.18,15.35,15.18,15.27,152700.0,15.2,15.3,15.1,15.1,171000.0,15.2,15.46,15.15,15.3,252600.0,15.1
2015-07-31,15.28,15.28,15.14,15.14,136400.0,15.4,15.42,15.23,15.25,653100.0,15.45,15.55,15.35,15.505,241900.0,15.18,15.35,15.18,15.27,152700.0,15.2,15.3,15.1,15.1,171000.0,15.04
2015-08-04,15.24,15.24,14.76,14.9,157700.0,15.28,15.28,15.14,15.14,136400.0,15.4,15.42,15.23,15.25,653100.0,15.45,15.55,15.35,15.505,241900.0,15.18,15.35,15.18,15.27,152700.0,14.96
2015-08-05,15.0,15.02,14.93,14.93,111300.0,15.24,15.24,14.76,14.9,157700.0,15.28,15.28,15.14,15.14,136400.0,15.4,15.42,15.23,15.25,653100.0,15.45,15.55,15.35,15.505,241900.0,15.0
2015-08-06,15.05,15.32,15.05,15.25,204300.0,15.0,15.02,14.93,14.93,111300.0,15.24,15.24,14.76,14.9,157700.0,15.28,15.28,15.14,15.14,136400.0,15.4,15.42,15.23,15.25,653100.0,15.04
2015-08-07,15.25,15.25,14.95,15.0,32600.0,15.05,15.32,15.05,15.25,204300.0,15.0,15.02,14.93,14.93,111300.0,15.24,15.24,14.76,14.9,157700.0,15.28,15.28,15.14,15.14,136400.0,15.0
2015-08-10,15.1,15.14,15.05,15.1,71700.0,15.25,15.25,14.95,15.0,32600.0,15.05,15.32,15.05,15.25,204300.0,15.0,15.02,14.93,14.93,111300.0,15.24,15.24,14.76,14.9,157700.0,15.02
2015-08-11,15.06,15.15,15.0,15.04,49600.0,15.1,15.14,15.05,15.1,71700.0,15.25,15.25,14.95,15.0,32600.0,15.05,15.32,15.05,15.25,204300.0,15.0,15.02,14.93,14.93,111300.0,15.12
2015-08-12,15.0,15.09,14.9,14.96,264400.0,15.06,15.15,15.0,15.04,49600.0,15.1,15.14,15.05,15.1,71700.0,15.25,15.25,14.95,15.0,32600.0,15.05,15.32,15.05,15.25,204300.0,15.46
2015-08-13,15.0,15.1,15.0,15.0,73700.0,15.0,15.09,14.9,14.96,264400.0,15.06,15.15,15.0,15.04,49600.0,15.1,15.14,15.05,15.1,71700.0,15.25,15.25,14.95,15.0,32600.0,15.4
2015-08-14,15.1,15.1,15.04,15.04,34000.0,15.0,15.1,15.0,15.0,73700.0,15.0,15.09,14.9,14.96,264400.0,15.06,15.15,15.0,15.04,49600.0,15.1,15.14,15.05,15.1,71700.0,14.9
2015-08-17,15.01,15.03,15.0,15.0,43400.0,15.1,15.1,15.04,15.04,34000.0,15.0,15.1,15.0,15.0,73700.0,15.0,15.09,14.9,14.96,264400.0,15.06,15.15,15.0,15.04,49600.0,14.93
2015-08-18,15.0,15.15,15.0,15.02,71700.0,15.01,15.03,15.0,15.0,43400.0,15.1,15.1,15.04,15.04,34000.0,15.0,15.1,15.0,15.0,73700.0,15.0,15.09,14.9,14.96,264400.0,15.02
2015-08-19,15.09,15.26,15.02,15.12,160800.0,15.0,15.15,15.0,15.02,71700.0,15.01,15.03,15.0,15.0,43400.0,15.1,15.1,15.04,15.04,34000.0,15.0,15.1,15.0,15.0,73700.0,15.12
2015-08-20,15.35,15.75,15.32,15.46,33400.0,15.09,15.26,15.02,15.12,160800.0,15.0,15.15,15.0,15.02,71700.0,15.01,15.03,15.0,15.0,43400.0,15.1,15.1,15.04,15.04,34000.0,15.25
2015-08-21,15.54,15.55,15.315,15.4,64300.0,15.35,15.75,15.32,15.46,33400.0,15.09,15.26,15.02,15.12,160800.0,15.0,15.15,15.0,15.02,71700.0,15.01,15.03,15.0,15.0,43400.0,15.36
2015-08-24,14.32,15.1,14.32,14.9,103700.0,15.54,15.55,15.315,15.4,64300.0,15.35,15.75,15.32,15.46,33400.0,15.09,15.26,15.02,15.12,160800.0,15.0,15.15,15.0,15.02,71700.0,15.35
2015-08-25,15.15,15.15,14.9,14.93,101100.0,14.32,15.1,14.32,14.9,103700.0,15.54,15.55,15.315,15.4,64300.0,15.35,15.75,15.32,15.46,33400.0,15.09,15.26,15.02,15.12,160800.0,15.21
2015-08-26,15.06,15.13,15.0,15.02,149400.0,15.15,15.15,14.9,14.93,101100.0,14.32,15.1,14.32,14.9,103700.0,15.54,15.55,15.315,15.4,64300.0,15.35,15.75,15.32,15.46,33400.0,15.45
2015-08-27,15.26,15.5,15.07,15.12,12100.0,15.06,15.13,15.0,15.02,149400.0,15.15,15.15,14.9,14.93,101100.0,14.32,15.1,14.32,14.9,103700.0,15.54,15.55,15.315,15.4,64300.0,15.42
2015-08-28,15.16,15.32,15.15,15.25,448400.0,15.26,15.5,15.07,15.12,12100.0,15.06,15.13,15.0,15.02,149400.0,15.15,15.15,14.9,14.93,101100.0,14.32,15.1,14.32,14.9,103700.0,15.45
2015-08-31,15.3,15.42,15.3,15.36,9500.0,15.16,15.32,15.15,15.25,448400.0,15.26,15.5,15.07,15.12,12100.0,15.06,15.13,15.0,15.02,149400.0,15.15,15.15,14.9,14.93,101100.0,15.25
2015-09-01,15.21,15.38,15.21,15.35,87000.0,15.3,15.42,15.3,15.36,9500.0,15.16,15.32,15.15,15.25,448400.0,15.26,15.5,15.07,15.12,12100.0,15.06,15.13,15.0,15.02,149400.0,15.24
2015-09-02,15.3,15.3,15.14,15.21,21500.0,15.21,15.38,15.21,15.35,87000.0,15.3,15.42,15.3,15.36,9500.0,15.16,15.32,15.15,15.25,448400.0,15.26,15.5,15.07,15.12,12100.0,15.25
2015-09-03,15.18,15.47,15.18,15.45,298300.0,15.3,15.3,15.14,15.21,21500.0,15.21,15.38,15.21,15.35,87000.0,15.3,15.42,15.3,15.36,9500.0,15.16,15.32,15.15,15.25,448400.0,15.15
2015-09-04,15.45,15.49,15.31,15.42,82200.0,15.18,15.47,15.18,15.45,298300.0,15.3,15.3,15.14,15.21,21500.0,15.21,15.38,15.21,15.35,87000.0,15.3,15.42,15.3,15.36,9500.0,15.3
2015-09-08,15.5,15.5,15.44,15.45,4900.0,15.45,15.49,15.31,15.42,82200.0,15.18,15.47,15.18,15.45,298300.0,15.3,15.3,15.14,15.21,21500.0,15.21,15.38,15.21,15.35,87000.0,15.4
2015-09-09,15.45,15.45,15.21,15.25,45900.0,15.5,15.5,15.44,15.45,4900.0,15.45,15.49,15.31,15.42,82200.0,15.18,15.47,15.18,15.45,298300.0,15.3,15.3,15.14,15.21,21500.0,15.33
2015-09-10,15.3,15.3,15.15,15.24,201800.0,15.45,15.45,15.21,15.25,45900.0,15.5,15.5,15.44,15.45,4900.0,15.45,15.49,15.31,15.42,82200.0,15.18,15.47,15.18,15.45,298300.0,15.3
2015-09-11,15.3,15.3,15.13,15.25,7900.0,15.3,15.3,15.15,15.24,201800.0,15.45,15.45,15.21,15.25,45900.0,15.5,15.5,15.44,15.45,4900.0,15.45,15.49,15.31,15.42,82200.0,15.56
2015-09-14,15.25,15.25,15.07,15.15,28800.0,15.3,15.3,15.13,15.25,7900.0,15.3,15.3,15.15,15.24,201800.0,15.45,15.45,15.21,15.25,45900.0,15.5,15.5,15.44,15.45,4900.0,15.53
2015-09-15,15.19,15.75,15.15,15.3,64300.0,15.25,15.25,15.07,15.15,28800.0,15.3,15.3,15.13,15.25,7900.0,15.3,15.3,15.15,15.24,201800.0,15.45,15.45,15.21,15.25,45900.0,15.49
2015-09-16,15.35,15.47,15.25,15.4,143900.0,15.19,15.75,15.15,15.3,64300.0,15.25,15.25,15.07,15.15,28800.0,15.3,15.3,15.13,15.25,7900.0,15.3,15.3,15.15,15.24,201800.0,15.3
2015-09-17,15.35,15.36,15.21,15.33,31900.0,15.35,15.47,15.25,15.4,143900.0,15.19,15.75,15.15,15.3,64300.0,15.25,15.25,15.07,15.15,28800.0,15.3,15.3,15.13,15.25,7900.0,15.37
2015-09-18,15.31,15.37,15.28,15.3,5000.0,15.35,15.36,15.21,15.33,31900.0,15.35,15.47,15.25,15.4,143900.0,15.19,15.75,15.15,15.3,64300.0,15.25,15.25,15.07,15.15,28800.0,15.25
2015-09-21,15.35,15.72,15.31,15.56,118400.0,15.31,15.37,15.28,15.3,5000.0,15.35,15.36,15.21,15.33,31900.0,15.35,15.47,15.25,15.4,143900.0,15.19,15.75,15.15,15.3,64300.0,15.27
2015-09-22,15.5,15.58,15.45,15.53,10700.0,15.35,15.72,15.31,15.56,118400.0,15.31,15.37,15.28,15.3,5000.0,15.35,15.36,15.21,15.33,31900.0,15.35,15.47,15.25,15.4,143900.0,15.18
2015-09-23,15.5,15.5,15.36,15.49,20200.0,15.5,15.58,15.45,15.53,10700.0,15.35,15.72,15.31,15.56,118400.0,15.31,15.37,15.28,15.3,5000.0,15.35,15.36,15.21,15.33,31900.0,15.15
2015-09-24,15.45,15.45,15.25,15.3,21300.0,15.5,15.5,15.36,15.49,20200.0,15.5,15.58,15.45,15.53,10700.0,15.35,15.72,15.31,15.56,118400.0,15.31,15.37,15.28,15.3,5000.0,15.08
2015-09-25,15.3,15.37,15.2,15.37,23200.0,15.45,15.45,15.25,15.3,21300.0,15.5,15.5,15.36,15.49,20200.0,15.5,15.58,15.45,15.53,10700.0,15.35,15.72,15.31,15.56,118400.0,15.1
2015-09-28,15.29,15.29,15.24,15.25,22300.0,15.3,15.37,15.2,15.37,23200.0,15.45,15.45,15.25,15.3,21300.0,15.5,15.5,15.36,15.49,20200.0,15.5,15.58,15.45,15.53,10700.0,14.88
2015-09-29,15.26,15.27,15.25,15.27,13400.0,15.29,15.29,15.24,15.25,22300.0,15.3,15.37,15.2,15.37,23200.0,15.45,15.45,15.25,15.3,21300.0,15.5,15.5,15.36,15.49,20200.0,14.93
2015-09-30,15.25,15.39,15.07,15.18,48300.0,15.26,15.27,15.25,15.27,13400.0,15.29,15.29,15.24,15.25,22300.0,15.3,15.37,15.2,15.37,23200.0,15.45,15.45,15.25,15.3,21300.0,14.94
2015-10-01,15.18,15.19,15.15,15.15,14600.0,15.25,15.39,15.07,15.18,48300.0,15.26,15.27,15.25,15.27,13400.0,15.29,15.29,15.24,15.25,22300.0,15.3,15.37,15.2,15.37,23200.0,14.88
2015-10-02,15.17,15.17,15.08,15.08,3700.0,15.18,15.19,15.15,15.15,14600.0,15.25,15.39,15.07,15.18,48300.0,15.26,15.27,15.25,15.27,13400.0,15.29,15.29,15.24,15.25,22300.0,14.82
